Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
31/03/18,2017,Hibernian,Partick,1.53,4.0,6.0,2,0,H,3,0,6,1,2,0,50,21,0,2,2,6,0,1,50,21
31/03/18,2017,Celtic,Ross County,1.16,7.0,15.0,3,0,H,2,0,4,1,1,0,64,36,1,2,6,6,1,1,64,36
31/03/18,2017,Aberdeen,St Johnstone,1.57,3.89,5.75,4,1,H,2,1,4,2,1,1,60,13,1,1,4,2,1,1,60,13
28/03/18,2017,St Johnstone,Hamilton,1.8,3.5,4.5,1,0,H,1,1,4,5,1,1,27,27,1,1,5,6,1,1,27,27
18/03/18,2017,Motherwell,Celtic,9.5,5.25,1.28,0,0,D,1,1,3,2,1,0,43,21,2,1,5,3,1,0,43,21
17/03/18,2017,Ross County,Hamilton,1.9,3.5,3.89,2,2,D,0,2,4,7,0,1,14,29,1,2,3,5,1,1,14,29
17/03/18,2017,Rangers,Kilmarnock,1.39,4.75,7.5,0,1,A,1,2,5,5,1,0,47,13,1,1,3,4,0,1,47,13
17/03/18,2017,Hearts,Partick,2.14,3.29,3.39,3,0,H,1,0,3,2,0,0,36,50,1,1,5,4,1,0,36,50
17/03/18,2017,Aberdeen,Dundee,1.5,4.33,6.0,1,0,H,2,1,6,3,2,1,57,14,2,1,6,5,0,0,57,14
16/03/18,2017,St Johnstone,Hibernian,4.0,3.2,2.0,1,1,D,1,2,4,7,1,2,29,21,1,1,4,4,0,0,29,21
11/03/18,2017,Rangers,Celtic,3.79,3.6,1.9,2,3,A,2,1,5,2,2,0,50,14,2,1,4,2,1,0,50,14
10/03/18,2017,Partick,Aberdeen,4.33,3.6,1.8,0,0,D,0,3,2,6,0,1,36,14,1,2,4,6,1,2,36,14
10/03/18,2017,Kilmarnock,Ross County,2.0,3.29,3.79,3,2,H,2,0,7,4,1,0,40,20,1,2,4,5,1,2,40,20
10/03/18,2017,Hamilton,Motherwell,4.33,3.5,1.85,2,0,H,1,2,6,8,0,1,21,21,1,1,3,3,0,0,21,21
10/03/18,2017,Dundee,St Johnstone,2.39,3.1,3.1,0,4,A,0,3,1,6,0,1,29,14,0,2,0,4,0,2,29,14
09/03/18,2017,Hibernian,Hearts,1.72,3.5,5.0,2,0,H,2,0,5,2,1,0,46,23,0,2,2,6,0,2,46,23
