Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
29/04/2023,2022,FC Koln,Freiburg,2.4,3.25,3.0,0,1,A,0,1,1,3,0,1,36,36,1,0,3,2,0,0,36,36
29/04/2023,2022,Ein Frankfurt,Augsburg,1.53,4.5,5.5,1,1,D,0,0,3,3,0,0,50,29,0,2,7,10,0,1,50,29
28/04/2023,2022,Bochum,Dortmund,6.0,5.25,1.44,1,1,D,1,2,4,8,0,1,43,7,0,1,7,9,0,1,43,7
23/04/2023,2022,M'gladbach,Union Berlin,2.38,3.3,3.1,0,1,A,1,0,4,2,1,0,57,21,0,2,2,6,0,1,57,21
23/04/2023,2022,Leverkusen,RB Leipzig,2.5,3.6,2.63,2,0,H,3,0,9,3,2,0,50,14,1,2,2,3,0,0,50,14
23/04/2023,2022,Freiburg,Schalke 04,1.8,3.75,4.5,4,0,H,1,1,3,3,0,0,57,29,1,1,3,3,1,1,57,29
22/04/2023,2022,Dortmund,Ein Frankfurt,1.62,4.5,4.75,4,0,H,3,0,10,3,1,0,85,8,0,2,3,7,0,2,85,8
22/04/2023,2022,Mainz,Bayern Munich,5.25,4.5,1.57,3,1,H,1,0,4,3,0,0,36,43,2,1,4,3,0,0,36,43
22/04/2023,2022,Hoffenheim,FC Koln,2.2,3.5,3.2,1,3,A,2,1,5,2,2,0,36,14,1,1,4,7,1,1,36,14
22/04/2023,2022,Hertha,Werder Bremen,2.25,3.5,3.1,2,4,A,1,1,3,2,1,0,29,36,0,1,5,6,0,0,29,36
22/04/2023,2022,Bochum,Wolfsburg,3.0,3.5,2.3,1,5,A,1,2,3,5,0,1,46,8,2,1,3,2,1,1,46,8
21/04/2023,2022,Augsburg,Stuttgart,3.2,3.6,2.15,1,1,D,1,1,4,5,0,1,36,21,1,1,4,6,0,1,36,21
16/04/2023,2022,Wolfsburg,Leverkusen,2.75,3.6,2.4,0,0,D,0,0,5,5,0,0,31,46,2,0,7,3,1,0,31,46
16/04/2023,2022,Union Berlin,Bochum,1.6,3.8,6.0,1,1,D,2,0,5,0,2,0,69,31,1,1,3,4,1,1,69,31
16/04/2023,2022,Werder Bremen,Freiburg,2.7,3.5,2.55,1,2,A,1,2,6,5,1,0,36,7,1,0,3,1,1,0,36,7
15/04/2023,2022,Ein Frankfurt,M'gladbach,1.73,4.2,4.33,1,1,D,1,0,4,2,1,0,54,23,0,2,0,7,0,2,54,23
15/04/2023,2022,Stuttgart,Dortmund,3.5,3.8,1.95,3,3,D,1,2,4,3,1,0,31,23,1,1,5,6,0,1,31,23
15/04/2023,2022,RB Leipzig,Augsburg,1.25,6.5,10.0,3,2,H,2,1,5,4,1,1,69,15,0,2,5,9,0,2,69,15
15/04/2023,2022,FC Koln,Mainz,2.55,3.4,2.7,1,1,D,0,2,0,4,0,2,38,31,2,0,7,3,1,0,38,31
15/04/2023,2022,Bayern Munich,Hoffenheim,1.22,7.5,11.0,1,1,D,3,0,12,5,3,0,69,31,1,2,3,4,0,0,69,31
14/04/2023,2022,Schalke 04,Hertha,2.25,3.3,3.2,5,2,H,1,1,4,6,0,1,21,29,0,2,3,8,0,2,21,29
09/04/2023,2022,Hoffenheim,Schalke 04,1.91,3.8,3.8,2,0,H,1,2,4,5,1,1,31,15,1,0,3,1,1,0,31,15
09/04/2023,2022,Bochum,Stuttgart,3.1,3.5,2.25,2,3,A,1,2,1,4,0,2,50,8,0,2,2,6,0,1,50,8
09/04/2023,2022,M'gladbach,Wolfsburg,2.38,3.6,2.88,2,0,H,1,0,5,4,0,0,54,23,2,0,3,0,1,0,54,23
08/04/2023,2022,Hertha,RB Leipzig,5.5,4.0,1.62,0,1,A,2,0,7,2,2,0,31,38,1,2,4,3,1,0,31,38
08/04/2023,2022,Mainz,Werder Bremen,1.7,4.0,4.75,2,2,D,2,0,6,1,1,0,38,38,0,2,3,6,0,1,38,38
