Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
29/04/2023,2022,Vizela,Pacos Ferreira,1.8,3.4,4.5,1.0,2.0,A,1,1,4,6,1,1,36,21,0,1,2,4,0,1,36,21
29/04/2023,2022,Sp Braga,Portimonense,1.25,6.0,10.0,4.0,1.0,H,2,0,5,1,1,0,71,14,1,2,1,3,0,1,71,14
29/04/2023,2022,Maritimo,Guimaraes,2.55,3.25,2.88,1.0,2.0,A,2,1,7,6,2,1,36,14,0,3,3,9,0,1,36,14
28/04/2023,2022,Rio Ave,Arouca,2.45,3.0,3.1,1.0,0.0,H,1,1,3,3,0,0,50,14,2,0,4,1,1,0,50,14
24/04/2023,2022,Guimaraes,Sp Lisbon,5.5,4.0,1.55,0.0,2.0,A,1,1,2,3,0,1,57,21,2,0,5,3,0,0,57,21
23/04/2023,2022,Arouca,Vizela,2.63,3.2,2.75,1.0,0.0,H,2,0,4,1,1,0,57,14,3,0,5,0,1,0,57,14
23/04/2023,2022,Santa Clara,Chaves,2.6,3.1,2.75,1.0,1.0,D,0,3,1,6,0,2,14,29,1,1,2,1,1,0,14,29
23/04/2023,2022,Benfica,Estoril,1.09,9.0,21.0,1.0,0.0,H,2,1,8,3,2,0,86,7,0,3,3,9,0,2,86,7
23/04/2023,2022,Portimonense,Gil Vicente,2.45,3.3,2.7,1.0,0.0,H,0,2,2,4,0,0,36,21,0,3,1,4,0,0,36,21
22/04/2023,2022,Pacos Ferreira,Porto,10.0,5.0,1.29,0.0,2.0,A,1,2,3,6,0,2,14,14,2,0,5,2,1,0,14,14
22/04/2023,2022,Boavista,Rio Ave,2.3,3.2,3.1,3.0,2.0,H,1,1,3,3,0,0,43,36,1,1,4,4,1,1,43,36
22/04/2023,2022,Famalicao,Maritimo,1.83,3.4,4.0,3.0,2.0,H,2,1,3,2,0,0,57,7,0,3,0,5,0,2,57,7
21/04/2023,2022,Casa Pia,Sp Braga,5.25,3.6,1.6,0.0,1.0,A,2,1,7,5,1,0,43,21,2,1,7,3,1,0,43,21
17/04/2023,2022,Vizela,Boavista,1.85,3.4,4.33,1.0,1.0,D,1,2,3,7,1,2,38,15,1,2,5,8,1,2,38,15
16/04/2023,2022,Sp Lisbon,Arouca,1.2,7.0,12.0,1.0,1.0,D,3,0,8,0,3,0,85,0,2,0,3,0,1,0,85,0
16/04/2023,2022,Sp Braga,Gil Vicente,1.36,5.0,8.0,1.0,0.0,H,2,0,6,1,2,0,69,15,1,2,3,4,0,0,69,15
16/04/2023,2022,Rio Ave,Casa Pia,2.25,3.0,3.4,1.0,1.0,D,2,1,3,2,0,0,54,8,0,3,1,6,0,2,54,8
15/04/2023,2022,Porto,Santa Clara,1.11,8.5,21.0,2.0,1.0,H,2,1,5,4,0,0,85,0,0,3,1,7,0,2,85,0
15/04/2023,2022,Chaves,Benfica,8.0,5.75,1.29,1.0,0.0,H,1,2,4,5,1,1,23,38,3,0,6,0,2,0,23,38
15/04/2023,2022,Maritimo,Pacos Ferreira,2.15,3.3,3.3,3.0,1.0,H,2,1,7,6,2,1,31,15,0,1,2,3,0,0,31,15
15/04/2023,2022,Estoril,Portimonense,2.25,3.1,3.3,0.0,1.0,A,1,2,1,5,0,2,31,15,0,3,0,4,0,1,31,15
14/04/2023,2022,Famalicao,Guimaraes,2.2,3.0,3.6,2.0,1.0,H,2,1,2,1,0,0,54,8,1,2,5,8,1,1,54,8
10/04/2023,2022,Gil Vicente,Chaves,2.0,3.3,4.0,0.0,0.0,D,1,0,3,1,1,0,31,38,1,1,2,1,1,0,31,38
09/04/2023,2022,Casa Pia,Sp Lisbon,8.5,4.5,1.4,3.0,4.0,A,2,0,4,1,1,0,46,23,2,0,4,2,0,0,46,23
08/04/2023,2022,Sp Braga,Estoril,1.3,5.0,9.0,4.0,1.0,H,2,0,4,0,2,0,67,17,0,3,2,7,0,2,67,17
08/04/2023,2022,Portimonense,Rio Ave,2.6,3.0,2.88,2.0,2.0,D,1,2,2,3,0,0,38,15,1,2,2,3,1,1,38,15
08/04/2023,2022,Pacos Ferreira,Famalicao,2.4,3.1,3.0,1.0,3.0,A,2,1,4,4,0,1,15,15,2,1,5,4,1,1,15,15
08/04/2023,2022,Arouca,Maritimo,2.3,3.2,3.4,1.0,0.0,H,2,0,4,1,1,0,54,15,0,3,1,6,0,2,54,15
