Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
14/05/2023,2022,Elche,Ath Madrid,8.0,5.0,1.36,1,0,H,1,2,4,6,1,2,12,25,2,1,7,4,1,0,12,25
14/05/2023,2022,Celta,Valencia,2.2,3.3,3.4,1,2,A,1,1,3,3,0,0,38,31,1,2,4,4,1,0,38,31
13/05/2023,2022,Real Madrid,Getafe,1.55,4.0,6.5,1,0,H,2,1,8,5,2,0,69,25,0,3,1,6,0,2,69,25
13/05/2023,2022,Villarreal,Ath Bilbao,2.1,3.5,3.4,5,1,H,2,1,8,5,2,0,62,12,2,0,5,3,0,0,62,12
13/05/2023,2022,Osasuna,Almeria,2.05,3.5,3.6,3,1,H,2,1,5,5,0,1,50,6,1,2,5,7,0,1,50,6
13/05/2023,2022,Sociedad,Girona,1.62,4.0,5.5,2,2,D,3,0,6,1,2,0,56,25,1,1,2,1,1,0,56,25
12/05/2023,2022,Mallorca,Cadiz,2.15,2.9,4.0,1,0,H,1,0,4,2,1,0,44,31,1,1,3,5,1,1,44,31
04/05/2023,2022,Vallecano,Valladolid,1.73,3.8,4.75,2,1,H,2,1,5,4,0,0,44,31,1,2,3,9,0,1,44,31
04/05/2023,2022,Ath Bilbao,Betis,1.7,4.0,4.75,0,1,A,1,1,2,1,1,0,44,19,0,3,2,8,0,1,44,19
04/05/2023,2022,Sevilla,Espanol,1.83,3.6,4.2,3,2,H,1,1,4,5,0,1,38,25,0,3,4,9,0,2,38,25
04/05/2023,2022,Girona,Mallorca,2.1,3.2,3.75,2,1,H,3,0,8,3,2,0,56,19,1,1,5,6,0,1,56,19
03/05/2023,2022,Getafe,Celta,2.55,3.0,3.1,1,0,H,1,1,3,2,1,0,31,31,0,2,3,7,0,2,31,31
03/05/2023,2022,Ath Madrid,Cadiz,1.29,5.5,12.0,5,1,H,3,0,6,2,1,0,62,19,1,0,3,1,1,0,62,19
