Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
23/04/2023,2022,PSV Eindhoven,Ajax,2.38,3.5,2.9,3.0,0.0,H,3,0,12,3,3,0,86,7,2,0,6,3,1,0,86,7
23/04/2023,2022,Go Ahead Eagles,For Sittard,1.91,3.5,4.2,2.0,0.0,H,2,0,5,2,1,0,36,36,1,2,3,7,0,1,36,36
23/04/2023,2022,Twente,Sparta Rotterdam,1.53,4.2,6.0,3.0,3.0,D,2,0,9,4,1,0,79,21,3,0,7,1,2,0,79,21
22/04/2023,2022,Vitesse,Excelsior,1.45,4.75,6.5,0.0,0.0,D,1,1,3,2,1,0,21,36,0,3,0,9,0,3,21,36
22/04/2023,2022,Heerenveen,FC Emmen,1.7,3.6,5.5,2.0,3.0,A,1,2,5,9,0,2,36,14,1,2,4,7,0,2,36,14
21/04/2023,2022,Volendam,Cambuur,1.7,4.0,4.5,2.0,0.0,H,2,1,7,5,1,0,43,7,0,3,3,13,0,3,43,7
19/04/2023,2022,Go Ahead Eagles,Waalwijk,2.0,3.6,3.6,3.0,2.0,H,2,0,3,0,1,0,31,38,1,2,6,9,1,2,31,38
16/04/2023,2022,For Sittard,AZ Alkmaar,4.5,3.8,1.75,0.0,3.0,A,1,2,5,8,1,2,29,21,1,2,3,4,0,0,29,21
16/04/2023,2022,Ajax,FC Emmen,1.13,8.5,21.0,3.0,1.0,H,2,1,7,3,1,0,57,29,1,1,4,5,0,1,57,29
16/04/2023,2022,Cambuur,Feyenoord,11.0,5.75,1.29,0.0,3.0,A,1,2,6,5,1,0,14,0,3,0,10,5,2,0,14,0
16/04/2023,2022,Volendam,PSV Eindhoven,8.5,6.5,1.29,2.0,3.0,A,3,0,7,2,2,0,46,8,2,0,6,3,1,0,46,8
16/04/2023,2022,Utrecht,Twente,2.9,3.6,2.3,1.0,0.0,H,0,2,2,4,0,0,36,36,1,1,4,3,1,1,36,36
16/04/2023,2022,Nijmegen,Vitesse,2.2,3.4,3.3,1.0,4.0,A,1,1,7,6,1,1,21,64,0,3,1,6,0,2,21,64
15/04/2023,2022,Sparta Rotterdam,Heerenveen,2.3,3.25,3.2,4.0,0.0,H,1,2,4,7,1,2,57,14,1,0,6,4,1,0,57,14
15/04/2023,2022,Waalwijk,Groningen,1.91,3.5,4.2,2.0,1.0,H,1,2,2,4,0,1,50,21,0,3,1,5,0,1,50,21
14/04/2023,2022,Excelsior,Go Ahead Eagles,3.2,3.5,2.2,2.0,1.0,H,1,1,5,5,1,1,43,14,1,2,3,7,0,2,43,14
09/04/2023,2022,Feyenoord,Waalwijk,1.18,7.5,13.0,5.0,1.0,H,3,0,5,2,0,0,69,31,1,1,5,4,1,1,69,31
09/04/2023,2022,Ajax,For Sittard,1.13,10.0,15.0,4.0,0.0,H,2,1,7,3,1,0,54,31,1,2,4,6,0,1,54,31
