Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
08/05/2023,2022,Udinese,Sampdoria,1.5,4.33,6.5,2.0,0.0,H,1,0,6,3,1,0,31,56,0,2,1,9,0,2,31,56
08/05/2023,2022,Empoli,Salernitana,2.2,3.1,3.6,2.0,1.0,H,2,1,4,4,1,1,38,25,0,0,3,3,0,0,38,25
07/05/2023,2022,Lecce,Verona,2.2,3.0,3.75,0.0,1.0,A,1,1,3,3,0,0,19,44,0,1,1,2,0,0,19,44
07/05/2023,2022,Napoli,Fiorentina,1.8,3.8,4.33,1.0,0.0,H,0,1,1,5,0,1,69,19,1,1,6,6,0,0,69,19
07/05/2023,2022,Torino,Monza,2.0,3.3,4.0,1.0,1.0,D,0,2,2,4,0,0,31,31,2,0,5,2,1,0,31,31
07/05/2023,2022,Atalanta,Juventus,2.3,3.4,3.1,0.0,2.0,A,2,1,6,5,1,1,50,19,0,2,2,4,0,0,50,19
06/05/2023,2022,Cremonese,Spezia,2.35,3.4,3.0,2.0,0.0,H,1,1,3,4,0,1,12,25,0,1,4,5,0,0,12,25
06/05/2023,2022,Roma,Inter,3.1,3.1,2.45,0.0,2.0,A,2,0,7,1,2,0,62,12,2,0,10,1,2,0,62,12
06/05/2023,2022,Milan,Lazio,1.95,3.4,4.0,2.0,0.0,H,1,0,3,1,1,0,62,25,2,1,6,3,2,1,62,25
04/05/2023,2022,Udinese,Napoli,4.75,3.6,1.75,1.0,1.0,D,2,0,8,3,2,0,33,53,3,0,7,1,1,0,33,53
04/05/2023,2022,Empoli,Bologna,2.9,3.2,2.55,3.0,1.0,H,1,2,1,4,0,1,33,27,1,1,5,4,1,0,33,27
03/05/2023,2022,Verona,Inter,5.5,3.75,1.67,0.0,6.0,A,2,0,5,3,0,0,38,12,1,1,5,3,1,0,38,12
03/05/2023,2022,Monza,Roma,3.75,3.1,2.15,1.0,1.0,D,1,1,4,5,0,1,38,25,1,2,2,4,0,1,38,25
03/05/2023,2022,Milan,Cremonese,1.33,5.0,9.5,1.0,1.0,D,1,0,3,1,1,0,67,20,1,1,4,6,0,1,67,20
03/05/2023,2022,Lazio,Sassuolo,1.67,4.0,5.0,2.0,0.0,H,2,1,3,2,0,0,56,19,1,2,5,8,0,1,56,19
03/05/2023,2022,Sampdoria,Torino,4.2,3.4,1.91,0.0,2.0,A,1,1,6,5,1,0,6,31,2,0,4,1,1,0,6,31
03/05/2023,2022,Salernitana,Fiorentina,4.75,3.75,1.73,3.0,3.0,D,1,0,6,3,1,0,31,31,2,1,5,3,1,0,31,31
03/05/2023,2022,Juventus,Lecce,1.6,3.8,6.0,2.0,1.0,H,2,1,5,3,1,0,69,19,0,3,0,4,0,1,69,19
03/05/2023,2022,Atalanta,Spezia,1.36,5.0,8.0,3.0,2.0,H,2,1,5,4,1,1,47,20,0,1,2,3,0,0,47,20
30/04/2023,2022,Bologna,Juventus,3.4,3.3,2.2,1.0,1.0,D,1,0,4,1,1,0,44,38,1,2,2,3,0,0,44,38
30/04/2023,2022,Fiorentina,Sampdoria,1.33,5.25,9.0,5.0,0.0,H,1,0,3,2,0,0,38,38,0,2,3,8,0,2,38,38
30/04/2023,2022,Sassuolo,Empoli,1.75,3.8,4.5,2.0,1.0,H,2,0,3,1,0,0,47,20,0,2,1,3,0,0,47,20
30/04/2023,2022,Napoli,Salernitana,1.22,6.5,12.0,1.0,1.0,D,1,1,2,4,1,1,73,13,0,0,3,3,0,0,73,13
30/04/2023,2022,Cremonese,Verona,3.0,3.3,2.45,1.0,1.0,D,1,2,2,5,0,2,13,20,0,2,1,4,0,1,13,20
30/04/2023,2022,Inter,Lazio,1.8,3.6,4.5,3.0,1.0,H,0,3,0,3,0,0,69,0,2,0,5,0,2,0,69,0
29/04/2023,2022,Torino,Atalanta,2.88,3.3,2.45,1.0,2.0,A,0,2,1,6,0,1,33,33,1,1,4,4,1,1,33,33
29/04/2023,2022,Roma,Milan,2.75,3.0,2.75,1.0,1.0,D,2,1,9,4,2,0,67,7,1,1,6,4,1,1,67,7
28/04/2023,2022,Spezia,Monza,2.8,3.3,2.55,0.0,2.0,A,1,1,3,5,0,1,19,50,1,0,4,3,0,0,19,50
28/04/2023,2022,Lecce,Udinese,2.45,3.0,3.2,1.0,0.0,H,0,2,2,5,0,1,13,47,1,2,1,6,0,2,13,47
24/04/2023,2022,Atalanta,Roma,2.3,3.25,3.2,3.0,1.0,H,1,1,2,3,0,1,43,21,1,2,2,3,0,0,43,21
