Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
07/05/2023,2022,Lyon,Montpellier,1.62,4.33,5.0,5.0,4.0,H,1,1,5,4,1,0,44,31,1,1,6,3,1,0,44,31
07/05/2023,2022,Nantes,Strasbourg,2.75,3.4,2.55,0.0,2.0,A,0,1,4,7,0,1,25,50,1,2,6,6,1,0,25,50
07/05/2023,2022,Lorient,Brest,2.4,3.4,2.9,2.0,1.0,H,1,1,2,1,1,0,44,25,0,0,3,3,0,0,44,25
07/05/2023,2022,Auxerre,Clermont,2.3,3.4,3.1,1.0,1.0,D,2,0,4,2,0,0,31,38,2,1,5,3,1,0,31,38
07/05/2023,2022,Ajaccio,Toulouse,3.4,3.5,2.1,0.0,0.0,D,0,2,0,5,0,2,19,12,2,1,4,4,0,1,19,12
07/05/2023,2022,Angers,Monaco,6.5,4.75,1.44,1.0,2.0,A,1,1,3,3,0,0,12,18,1,1,4,5,1,1,12,18
06/05/2023,2022,Lens,Marseille,2.3,3.5,3.0,2.0,1.0,H,3,0,8,1,2,0,88,6,2,0,4,2,0,0,88,6
06/05/2023,2022,Reims,Lille,3.4,3.75,2.05,1.0,0.0,H,0,2,2,5,0,1,44,31,1,1,3,2,1,0,44,31
06/05/2023,2022,Nice,Rennes,2.6,3.2,2.8,2.0,1.0,H,0,2,2,5,0,1,31,38,1,2,3,4,1,1,31,38
03/05/2023,2022,Brest,Nantes,2.2,3.3,3.4,2.0,0.0,H,2,1,5,3,1,0,27,33,0,2,4,7,0,1,27,33
02/05/2023,2022,Toulouse,Lens,5.0,4.33,1.6,0.0,1.0,A,0,3,1,5,0,1,38,25,2,1,6,3,1,1,38,25
30/04/2023,2022,Marseille,Auxerre,1.33,5.25,9.5,2.0,1.0,H,1,0,6,4,1,0,50,25,1,1,4,3,1,1,50,25
30/04/2023,2022,Paris SG,Lorient,1.18,8.0,12.0,1.0,3.0,A,1,2,3,4,1,1,75,12,0,2,3,7,0,2,75,12
30/04/2023,2022,Troyes,Nice,4.75,3.75,1.73,0.0,1.0,A,0,1,4,6,0,1,7,60,0,1,3,4,0,0,7,60
30/04/2023,2022,Rennes,Angers,1.29,5.5,11.0,4.0,2.0,H,1,2,3,2,1,0,75,0,0,3,1,10,0,2,75,0
30/04/2023,2022,Clermont,Reims,3.0,3.5,2.3,1.0,0.0,H,2,1,4,6,0,1,38,19,2,1,4,3,1,1,38,19
30/04/2023,2022,Monaco,Montpellier,1.5,4.5,6.0,0.0,4.0,A,2,1,7,5,1,0,56,12,1,1,3,3,0,0,56,12
29/04/2023,2022,Lille,Ajaccio,1.22,6.0,15.0,3.0,0.0,H,2,0,8,5,1,0,62,25,0,3,2,6,0,1,62,25
28/04/2023,2022,Strasbourg,Lyon,2.63,3.5,2.6,1.0,2.0,A,2,1,5,2,2,0,25,38,2,0,6,4,0,0,25,38
23/04/2023,2022,Lyon,Marseille,2.5,3.5,2.7,1.0,2.0,A,1,0,4,2,1,0,47,33,2,0,3,1,0,0,47,33
23/04/2023,2022,Montpellier,Rennes,3.3,3.25,2.3,1.0,0.0,H,2,1,8,3,1,0,38,12,1,1,3,3,1,1,38,12
23/04/2023,2022,Nice,Clermont,1.8,3.4,5.0,1.0,2.0,A,0,1,2,4,0,1,33,40,2,1,4,2,1,0,33,40
